time,delta,in_flight
2102-05-11 21:51:00+00:00,1,4
2102-05-11 22:06:36+00:00,-1,3
2102-05-12 00:13:00+00:00,2,5
2102-05-12 00:14:00+00:00,2,7
2102-05-12 00:21:03+00:00,-1,6
2102-05-12 00:25:00+00:00,1,7
2102-05-12 00:45:00+00:00,2,9
2102-05-12 01:01:00+00:00,2,11
2102-05-12 01:19:27+00:00,-1,10
2102-05-12 01:32:14+00:00,-1,9
2102-05-12 01:34:35+00:00,-1,8
2102-05-12 01:41:30+00:00,-1,7
2102-05-12 02:28:54+00:00,-1,6
2102-05-12 02:58:00+00:00,1,7
2102-05-12 03:19:22+00:00,-1,6
2102-05-12 04:03:00+00:00,2,8
2102-05-12 04:04:57+00:00,-1,7
2102-05-12 04:10:02+00:00,-1,6
2102-05-12 04:11:00+00:00,2,8
2102-05-12 04:12:45+00:00,-1,7
2102-05-12 04:22:10+00:00,-1,6
2102-05-12 04:49:06+00:00,-1,5
2102-05-12 04:53:09+00:00,-1,4
2102-05-12 05:06:14+00:00,-1,3
2102-05-12 05:52:41+00:00,-1,2
2102-05-12 09:34:41+00:00,-1,1
2102-05-12 09:36:49+00:00,-1,0
2102-05-12 21:02:00+00:00,2,2
2102-05-12 21:44:00+00:00,1,3
2102-05-12 21:50:21+00:00,-1,2
2102-05-12 22:56:24+00:00,-1,1
2102-05-12 23:30:00+00:00,2,3
2102-05-13 00:18:56+00:00,-1,2
2102-05-13 00:22:21+00:00,-1,1
2102-05-13 00:46:23+00:00,-1,0
2102-05-15 19:48:00+00:00,2,2
2102-05-15 20:24:51+00:00,-1,1
2102-05-15 20:24:57+00:00,-1,0
2102-05-15 22:12:00+00:00,1,1
2102-05-15 22:26:00+00:00,2,3
2102-05-15 22:26:47+00:00,-1,2
2102-05-15 22:30:00+00:00,1,3
2102-05-15 22:32:00+00:00,1,4
2102-05-15 22:41:00+00:00,1,5
2102-05-15 22:43:00+00:00,1,6
2102-05-15 22:54:00+00:00,2,8
2102-05-15 22:55:00+00:00,2,10
2102-05-15 22:59:36+00:00,-1,9
2102-05-15 23:06:50+00:00,-1,8
2102-05-15 23:33:06+00:00,-1,7
2102-05-15 23:43:00+00:00,1,8
2102-05-15 23:43:11+00:00,-1,7
2102-05-16 00:24:00+00:00,1,8
2102-05-16 00:34:00+00:00,2,10
2102-05-16 00:35:39+00:00,-1,9
2102-05-16 00:37:35+00:00,-1,8
2102-05-16 00:53:00+00:00,1,9
2102-05-16 01:01:58+00:00,-1,8
2102-05-16 01:06:56+00:00,-1,7
2102-05-16 01:36:27+00:00,-1,6
2102-05-16 01:51:01+00:00,-1,5
2102-05-16 01:52:14+00:00,-1,4
2102-05-16 01:57:23+00:00,-1,3
2102-05-16 01:58:52+00:00,-1,2
2102-05-16 02:21:56+00:00,-1,1
2102-05-16 03:47:28+00:00,-1,0
2102-05-16 04:11:00+00:00,1,1
2102-05-16 06:15:01+00:00,-1,0
2102-05-17 00:39:00+00:00,2,2
2102-05-17 01:04:29+00:00,-1,1
2102-05-17 02:29:51+00:00,-1,0
2102-05-18 21:33:00+00:00,2,2
2102-05-18 21:57:35+00:00,-1,1
2102-05-18 22:20:39+00:00,-1,0
2102-05-18 23:49:00+00:00,2,2
2102-05-18 23:59:00+00:00,2,4
2102-05-19 00:02:21+00:00,-1,3
2102-05-19 00:28:00+00:00,2,5
2102-05-19 00:40:00+00:00,1,6
2102-05-19 01:07:30+00:00,-1,5
2102-05-19 01:15:00+00:00,1,6
2102-05-19 02:00:02+00:00,-1,5
2102-05-19 03:09:17+00:00,-1,4
2102-05-19 03:43:44+00:00,-1,3
2102-05-19 04:07:00+00:00,2,5
2102-05-19 04:19:00+00:00,1,6
2102-05-19 04:34:00+00:00,1,7
2102-05-19 04:42:41+00:00,-1,6
2102-05-19 04:57:50+00:00,-1,5
2102-05-19 05:00:00+00:00,1,6
2102-05-19 05:41:54+00:00,-1,5
2102-05-19 06:03:00+00:00,-1,4
2102-05-19 07:40:33+00:00,-1,3
2102-05-19 08:52:30+00:00,-1,2
2102-05-19 09:16:13+00:00,-1,1
2102-05-19 09:40:49+00:00,-1,0
2102-05-19 21:26:00+00:00,2,2
2102-05-19 21:32:00+00:00,1,3
2102-05-19 21:40:00+00:00,2,5
2102-05-19 22:20:00+00:00,-1,4
2102-05-19 22:27:00+00:00,1,5
2102-05-19 23:16:51+00:00,-1,4
2102-05-19 23:35:17+00:00,-1,3
2102-05-19 23:53:15+00:00,-1,2
2102-05-20 02:16:10+00:00,-1,1
2102-05-20 02:36:29+00:00,-1,0
2102-05-20 03:36:00+00:00,1,1
2102-05-20 04:25:18+00:00,-1,0
2102-05-22 20:02:00+00:00,1,1
2102-05-22 21:10:42+00:00,-1,0
2102-05-22 21:40:00+00:00,1,1
2102-05-22 22:11:00+00:00,1,2
2102-05-22 22:24:00+00:00,2,4
2102-05-22 22:29:00+00:00,1,5
2102-05-22 22:36:00+00:00,4,9
2102-05-22 22:59:59+00:00,-1,8
2102-05-22 23:08:00+00:00,2,10
2102-05-22 23:12:57+00:00,-1,9
2102-05-22 23:15:00+00:00,2,11
2102-05-22 23:24:56+00:00,-1,10
2102-05-22 23:25:00+00:00,2,12
2102-05-22 23:30:58+00:00,-1,11
2102-05-22 23:48:50+00:00,-1,10
2102-05-22 23:51:55+00:00,-1,9
2102-05-23 00:16:29+00:00,-1,8
2102-05-23 00:29:00+00:00,2,10
2102-05-23 00:35:27+00:00,-1,9
2102-05-23 00:36:27+00:00,-1,8
2102-05-23 00:43:30+00:00,-1,7
2102-05-23 00:48:00+00:00,3,10
2102-05-23 00:58:22+00:00,-1,9
2102-05-23 01:21:24+00:00,-1,8
2102-05-23 01:35:03+00:00,-1,7
2102-05-23 02:22:27+00:00,-1,6
2102-05-23 02:22:45+00:00,-1,5
2102-05-23 03:16:00+00:00,2,7
2102-05-23 03:38:30+00:00,-1,6
2102-05-23 03:49:49+00:00,-1,5
2102-05-23 04:05:20+00:00,-1,4
2102-05-23 04:06:12+00:00,-1,3
2102-05-23 04:42:25+00:00,-1,2
2102-05-23 05:11:32+00:00,-1,1
2102-05-23 05:20:35+00:00,-1,0
2102-05-25 20:56:00+00:00,2,2
2102-05-25 21:18:00+00:00,1,3
2102-05-25 21:19:00+00:00,1,4
2102-05-25 21:19:36+00:00,-1,3
2102-05-25 21:28:56+00:00,-1,2
2102-05-25 22:02:00+00:00,1,3
2102-05-25 22:37:00+00:00,2,5
2102-05-25 22:37:33+00:00,-1,4
2102-05-26 00:57:57+00:00,-1,3
2102-05-26 01:11:51+00:00,-1,2
2102-05-26 02:46:18+00:00,-1,1
2102-05-26 03:43:39+00:00,-1,0
2102-05-26 04:02:00+00:00,1,1
2102-05-26 05:05:00+00:00,1,2
2102-05-26 06:11:00+00:00,1,3
2102-05-26 06:21:47+00:00,-1,2
2102-05-26 06:51:15+00:00,-1,1
2102-05-26 07:20:30+00:00,-1,0
2102-05-26 21:04:00+00:00,2,2
2102-05-26 21:30:43+00:00,-1,1
2102-05-26 21:34:51+00:00,-1,0
2102-05-26 21:46:00+00:00,1,1
2102-05-27 00:24:00+00:00,1,2
2102-05-27 00:25:03+00:00,-1,1
2102-05-27 01:24:00+00:00,2,3
2102-05-27 01:49:27+00:00,-1,2
2102-05-27 02:02:40+00:00,-1,1
2102-05-27 03:16:29+00:00,-1,0
2102-05-27 03:58:00+00:00,1,1
2102-05-27 04:19:22+00:00,-1,0
2102-05-27 04:23:00+00:00,1,1
2102-05-27 05:40:00+00:00,1,2
2102-05-27 06:13:03+00:00,-1,1
2102-05-27 07:01:35+00:00,-1,0
2102-05-29 20:28:00+00:00,2,2
2102-05-29 22:05:00+00:00,1,3
2102-05-29 22:17:00+00:00,2,5
2102-05-29 22:18:00+00:00,2,7
2102-05-29 22:30:20+00:00,-1,6
2102-05-29 22:45:00+00:00,2,8
2102-05-29 22:52:36+00:00,-1,7
2102-05-29 22:53:00+00:00,1,8
2102-05-29 22:54:51+00:00,-1,7
2102-05-29 22:57:00+00:00,4,11
2102-05-29 23:12:55+00:00,-1,10
2102-05-29 23:16:59+00:00,-1,9
2102-05-29 23:21:32+00:00,-1,8
2102-05-29 23:35:00+00:00,1,9
2102-05-29 23:48:59+00:00,-1,8
2102-05-30 00:07:00+00:00,2,10
2102-05-30 00:20:03+00:00,-1,9
2102-05-30 00:29:06+00:00,-1,8
2102-05-30 00:44:00+00:00,1,9
2102-05-30 00:45:07+00:00,-1,8
2102-05-30 00:53:00+00:00,1,9
2102-05-30 00:55:00+00:00,2,11
2102-05-30 01:03:58+00:00,-1,10
2102-05-30 01:04:00+00:00,1,11
2102-05-30 01:16:41+00:00,-1,10
2102-05-30 01:17:20+00:00,-1,9
2102-05-30 01:28:00+00:00,-1,8
2102-05-30 02:25:21+00:00,-1,7
2102-05-30 02:37:01+00:00,-1,6
2102-05-30 03:05:15+00:00,-1,5
2102-05-30 03:23:14+00:00,-1,4
2102-05-30 03:59:44+00:00,-1,3
2102-05-30 04:02:00+00:00,2,5
2102-05-30 04:22:45+00:00,-1,4
2102-05-30 05:28:09+00:00,-1,3
2102-05-30 05:32:25+00:00,-1,2
2102-05-30 09:17:47+00:00,-1,1
2102-05-30 10:42:21+00:00,-1,0
2102-06-01 04:04:00+00:00,2,2
2102-06-01 04:31:55+00:00,-1,1
2102-06-01 05:10:50+00:00,-1,0
2102-06-01 21:54:00+00:00,2,2
2102-06-01 22:22:32+00:00,-1,1
2102-06-01 22:57:00+00:00,1,2
2102-06-01 23:13:00+00:00,2,4
2102-06-01 23:55:31+00:00,-1,3
2102-06-01 23:56:00+00:00,2,5
2102-06-02 00:16:00+00:00,2,7
2102-06-02 00:17:00+00:00,1,8
2102-06-02 00:49:39+00:00,-1,7
2102-06-02 00:54:41+00:00,-1,6
2102-06-02 00:59:00+00:00,1,7
2102-06-02 01:13:01+00:00,-1,6
2102-06-02 02:08:30+00:00,-1,5
2102-06-02 02:40:45+00:00,-1,4
2102-06-02 04:47:56+00:00,-1,3
2102-06-02 05:00:00+00:00,1,4
2102-06-02 05:05:13+00:00,-1,3
